tree,treatment,origin,culture,stressed,serie ,c1L0,c1W1,c1W2,c2L0,c2W1,c2W2,c3L0,c3W1,c3W2,c4L0,c4W1,c4W2,c5L0,c5W1,c5W2,c6L0,c6W1,c6W2,c7L0,c7W1,c7W2,c8L0,c8W1,c8W2,c1L1,c1W11,c1W21,c2L1,c2W11,c2W21,c3L1,c3W11,c3W21,c4L1,c4W11,c4W21,c5L1,c5W11,c5W21,c6L1,c6W11,c6W21,c7L1,c7W11,c7W21,c8L1,c8W11,c8W21,c1L3,c1W13,c1W23,c2L3,c2W13,c2W23,c3L3,c3W13,c3W23,c4L3,c4W13,c4W23,c5L3,c5W13,c5W23,c6L3,c6W13,c6W23,c7L3,c7W13,c7W23,c8L3,c8W13,c8W23,c1EV0,c2EV0,c3EV0,c4EV0,c5EV0,c6EV0,c7EV0,c8EV0,c1EV1,c2EV1,c3EV1,c4EV1,c5EV1,c6EV1,c7EV1,c8EV1,c1EV3,c2EV3,c3EV3,c4EV3,c5EV3,c6EV3,c7EV3,c8EV3,c1oct-dec,c2oct-dec,c3oct-dec,c4oct-dec,c5oct-dec,c6oct-dec,c7oct-dec,c8oct-dec,c1dec-mar,c2dec-mar,c3dec-mar,c4dec-mar,c5dec-mar,c6dec-mar,c7dec-mar,c8dec-mar,c1oct-mar,c2oct-mar,c3oct-mar,c4oct-mar,c5oct-mar,c6oct-mar,c7oct-mar,c8oct-mar
39,intint,int,int,no,original,4.8,3.6,1.4,5,2.1,1.5,5.1,3,2.5,4.8,4.5,2.6,4.6,3.4,1.7,3.4,3.2,3.2,3.1,3.2,1.9,5.9,2.9,2.9,5,2.4,2.6,NA,NA,NA,5.5,3.8,3.2,4.9,4.6,3.4,5.1,4.8,3.4,4.9,4.2,3.5,3.8,4.4,3.1,6.5,3.9,2.7,NA,NA,NA,6.5,3.4,2.9,7,5.2,4.1,7.5,6,4.9,6.2,5.3,4.9,NA,NA,NA,8.3,6,5,6.1,5.5,5.1,23.5619449,12.72345025,30.29182541,47.5103057,23.49243716,27.34442246,15.83185983,38.97067147,24.54369261,NA,52.91620126,61.57521601,67.33296995,57.04366496,41.96971436,55.594409,NA,50.6552363,118.8759025,174.9621671,126.6548786,NA,197.1938439,134.5771899,0.000755963,NA,0.010330216,0.004802089,0.019499472,0.013616749,0.018054147,0.006579135,NA,NA,0.00930311,0.012003567,0.007262252,NA,0.017784356,0.010161555,NA,0.009729548,0.009628185,0.009180444,0.0118647,NA,0.01776171,0.008727666
40,subint,sub,int,yes,original,3.6,3.6,2.8,4.2,4.8,4,4.2,3.8,2.5,4.4,2.3,1.6,3.3,4.4,2.6,4.1,3.2,2.2,3.8,3.9,3,4.9,3.6,4,4.4,3.6,3.5,4.5,4.6,3.5,4.9,4.1,3,5.4,2.7,2.4,4.1,2.9,2.8,4.3,3.3,2.3,4.3,4,2.4,4.5,4.3,3,4.2,4,3.3,NA,NA,NA,5.5,4.9,5.1,6.8,4.1,4.2,5.6,5.9,3.9,4.7,3.5,1.9,5.1,3.8,3.4,4.9,5.1,4.3,28.9529179,63.86229546,32.73107576,13.14049667,31.74972076,23.47476571,35.52316623,55.57163245,43.55111356,57.97122019,48.50010374,27.57807841,26.15552599,26.47734288,34.58265193,47.08560164,43.94656153,NA,107.9922475,91.98033511,105.6014955,26.91009727,51.91167701,85.0122826,0.00756045,-0.001792268,0.00728224,0.013728192,-0.003589323,0.002228951,-0.000496905,-0.003068622,0.000103898,NA,0.009201075,0.013845444,0.016041518,0.000186347,0.004668869,0.006791132,0.002938756,NA,0.008406581,0.013703352,0.0084633,0.0009618,0.00267154,0.002993823
41,intint,int,int,yes,original,5,3.6,3.4,4.7,3.7,3.6,4.6,3.3,2.5,4.8,4.4,3.7,4.2,4.7,3.3,3.8,3.3,3.1,5.4,3,1.6,4.3,3.7,2.2,5.2,6.2,3.7,6.1,4.4,3.7,5,4,3.5,5.1,4.1,4.2,4.8,4.9,3.6,5,4.5,4.2,5.4,3.7,2.8,4.8,4.4,3.4,4.4,4.3,3.3,8.4,7.7,5.6,8.7,7.1,6.7,5.7,5.7,4.4,5.5,5.5,4.7,7,5.7,5.5,6.1,5.7,5.1,6.4,4.5,2.9,48.10563751,49.17829505,30.38391335,61.8359682,52.77875658,30.56141333,22.43568394,29.39018832,100.0699362,78.58320959,55.22330836,68.98525133,68.09402077,74.30848373,44.79714774,57.34034911,49.90105771,291.7510704,325.3174171,114.168815,112.3551343,172.4106048,139.7034837,68.81344548,0.013564258,0.008679735,0.011064293,0.002026065,0.00471816,0.016453461,0.012805403,0.012376734,-0.007998013,0.015077504,0.020384095,0.005790637,0.005756038,0.009674181,0.013073307,0.00209649,0.000258048,0.01253837,0.016696395,0.00431826,0.005320816,0.012184089,0.012879363,0.005991115
42,intint,int,int,yes,original,4.8,3.6,3,5.3,4,2.4,4.1,2.7,2.1,3.4,5,4.8,4.4,3,2.2,3.9,4.5,2.4,5,2.9,2.2,4.4,4.5,4.2,4.8,4.6,NA,5.3,3.9,3,4.3,4,2.6,6,5.7,3.6,4.7,3.6,3,4.5,4.2,2.8,6.1,3.7,3.4,3.7,3,2.3,5.7,4.6,3.3,6,6,4.3,9,7.6,6,6.7,5.8,4.4,6.5,6.8,5.2,5.6,5,3.9,NA,NA,NA,NA,NA,NA,41.0543328,42.62512912,18.54796303,64.11519367,23.36088297,36.4579864,25.53525779,65.39146569,NA,49.54546869,36.7778398,101.8936307,40.1990342,43.29507376,60.37768016,20.40719683,69.84879661,124.9843367,326.8512997,136.8689817,183.7831702,87.09594393,NA,NA,NA,0.002786053,0.012676584,0.008578668,0.010051482,0.003182932,0.015936284,-0.021564891,NA,0.010635605,0.025110458,0.003391893,0.017470272,0.008034155,NA,NA,0.00374251,0.007575665,0.020205249,0.005340442,0.014526012,0.006132745,NA,NA
43,subint,sub,int,no,original,4.3,3.6,2,4.4,3.1,2.4,4.6,2.2,1.5,5.3,3.4,3.3,3.3,3.8,2.6,5,3.7,2,5.5,3.5,2.3,4.6,3,1.8,4.7,3.3,2.1,4.4,2.4,2.2,5.1,2.9,2.3,5.6,4.4,4,5.5,5.2,4.1,7,5.3,4.2,5.8,4.7,4.4,4.3,3.3,2.4,3.8,3.2,3.2,NA,NA,NA,9.5,6.5,6.5,6.4,4.5,4,8.6,7.5,5.8,6.6,5.3,5.4,4.8,4.3,2.7,6.4,4.9,4.9,26.47734288,26.13412389,12.36491599,46.71489371,26.54017474,31.89698291,36.32859205,20.80990974,26.91009727,18.28092765,27.07738708,77.58477217,93.40249483,124.0438224,94.30629177,27.4314053,30.56141333,NA,315.2391878,90.79202769,298.6975244,148.368389,46.18141201,120.6874234,0.000300226,-0.006618214,0.014515479,0.009394595,0.023301082,0.025150435,0.017665608,0.005115912,0.00146249,NA,0.028214169,0.0018069,0.013362223,0.0020582,-0.008206558,0.017028913,0.001010203,NA,0.022806117,0.004679637,0.017047689,0.01082526,0.001689946,0.012378695
44,subint,sub,int,no,original,4.6,3.6,2.8,4.8,4.2,2.6,5.3,2.8,1.8,4,3.8,4.3,4,5.1,4.2,5.1,4.2,3.6,4.7,2.5,2,4.9,5.5,4.3,5.5,5.2,3.7,NA,NA,NA,5.8,4.4,2.9,5,5.3,4.5,6,5.4,4.8,6,6.1,3.8,4.8,3.4,2.7,5.3,5.8,5.1,NA,NA,NA,8.1,6.4,5.2,6.8,6.7,6.2,7.8,5.8,4.8,6.7,5.9,6.1,7.6,6.1,6.2,6.6,6.4,7.8,4.8,4.3,3.7,36.99539509,43.58017329,22.02020831,51.5299735,67.92908715,60.92412093,18.68756755,92.40130853,85.54065922,NA,60.68810878,94.28704952,122.5692374,115.465311,35.06959879,123.6399314,NA,214.0084332,222.1867842,172.0823084,189.438037,225.7634875,261.3066814,60.31857895,0.015522192,NA,0.018773837,0.011188522,0.010929847,0.011839648,0.011656966,0.005393193,NA,NA,0.014916904,0.006915276,0.005004436,0.007707101,0.023084599,-0.008249809,NA,0.011207135,0.016278576,0.008491614,0.007222519,0.009224357,0.018576312,-0.003003528
45,subint,sub,int,no,original,4.9,3.6,2.1,4,3.7,3.4,4.5,2.3,1.7,4.4,5.1,3.9,3.2,3.3,2.9,2.9,3.7,3.6,3.6,2,1.7,3.9,3.6,2.6,5.5,5.3,3.5,4.4,5.6,4.2,5.6,3.5,2.9,6.6,5.2,4.4,4.3,3.8,3.9,5.3,5,4.1,5.1,3.6,3,5.1,5.5,4.2,5.8,6.2,4.3,6.8,4.8,4,8.7,5.2,5.7,5.7,4.6,4.4,7.3,6.6,6.3,5.7,5.2,5.4,8.8,8.4,4.9,6.7,4.9,5.5,31.25904325,39.59192142,14.13716694,69.97897636,24.15256432,30.34405439,9.676890771,29.43593777,83.62919644,82.97260357,45.03787228,119.4307863,50.05872639,86.17643903,43.6202286,94.22009432,125.5557139,103.3960974,202.9561139,90.65458301,238.5240478,125.7524561,305.6439785,142.2890145,0.018223777,0.013701581,0.021457342,0.009898929,0.013496413,0.01932956,0.027884821,0.021544762,0.004670769,0.002529388,0.017304437,-0.003168742,0.01794567,0.004343891,0.02237816,0.004738239,0.009791837,0.006760156,0.018761848,0.001822969,0.016127321,0.010012076,0.02431465,0.011096085
46,intint,int,int,yes,original,3.8,3.6,2.2,3.9,2,2.4,3.7,3.2,2.2,5.4,3.6,3,3.8,3.2,1.8,4.9,3.4,2.8,4.3,3.9,1.9,4.1,5.2,4.7,4.2,3.3,2.9,4.7,2.7,3.1,5,4.8,3.1,5.7,4.6,3.4,4.7,3.9,2.9,5.6,4.9,3.9,5.2,4.6,2.8,4.4,4,3.4,6.4,4.8,4.8,6,5.4,4.7,5.9,5.1,4.9,NA,NA,NA,5.4,4.5,2.8,6.4,5.9,4.4,5.9,5.5,4.1,5.2,3.9,3.6,25.09975451,14.82517573,21.18454466,46.1861244,18.65320638,36.98361412,28.40235378,78.90129584,31.70024067,31.0444332,61.27087422,71.6283125,42.67225301,85.14972728,55.91092446,47.30924377,115.8116716,120.1777,115.8462291,NA,56.50272197,133.3166258,106.7638847,57.4322407,0.004323448,0.013686902,0.019667272,0.00812613,0.015324645,0.015443264,0.012542366,-0.009472073,0.014892426,0.015558069,0.007321369,NA,0.003226896,0.005153054,0.007435172,0.002228737,0.010768361,0.014736934,0.011964731,NA,0.007804724,0.009029944,0.009324984,-0.002236562
47,intint,int,int,no,original,5.2,3.6,3.4,5.5,3.6,2.6,4.1,2.7,3.5,5,5.9,3,4.6,3.7,2.9,4.4,2.8,3.7,4.2,3.9,3,4.5,5.4,2.3,5.2,4.5,3,6.4,5.1,3.8,5.7,3.5,3.8,6.6,7.2,4.8,4.6,3.9,2.7,5.4,5.3,5.3,6,5,5.1,6.1,7.8,4.8,9.3,6.5,7.4,NA,NA,NA,6.5,4.9,5.9,7,5.5,5.5,7.2,7,4.7,NA,NA,NA,10.1,7,7.6,6.4,6.6,4,50.02986301,41.51221993,30.94547304,77.76423565,39.3437356,36.50137964,39.26244689,52.38703925,57.4322407,99.53822164,59.64176208,186.6106036,39.3437356,119.1339058,120.1777,190.1519639,352.8112615,NA,148.8643679,166.3080611,193.5236783,NA,422.7240681,141.1957402,0.002555292,0.016195442,0.012150543,0.016210046,0,0.02190552,0.020716722,0.023873414,0.020865832,NA,0.010513558,-0.001323934,0.01831107,NA,0.014456875,-0.003421568,0.013755726,NA,0.011062034,0.005353241,0.011218754,NA,0.016735571,0.006982309
48,subint,sub,int,yes,original,4.5,3.6,1.8,3.2,2.6,1.7,4.2,3.5,3.3,3.8,3.7,4,3.5,3.3,2.5,2.8,3.2,2.2,3.1,2.9,2.4,6.2,5.7,2.3,4.8,2.4,2.1,3.2,2.9,1.7,4.2,3,2.5,4.3,3.8,4.5,4,4,4.2,3.3,3.9,2.8,2.7,2.6,2.7,3.3,3.3,2.7,3.3,2.8,1.5,4.8,2.6,2.2,5.7,5.5,5,3.4,2.1,1.5,4,3.4,2.1,5.3,4.3,4.6,NA,NA,NA,4,3.7,3,25.76498675,11.61760963,38.13265163,44.23794425,23.11819494,16.03154731,17.09792167,77.91149781,19.08517537,13.29522011,24.94620916,58.16403544,52.81017251,29.08663193,14.89173823,23.32632545,11.98065993,21.71468842,123.3909602,8.651946168,23.75829444,82.43008979,NA,35.25652355,-0.005557492,0.002497825,-0.007858316,0.005068228,0.015297849,0.011031855,-0.00255834,-0.022333166,-0.005351933,0.0056389,0.018375126,-0.021902103,-0.009181289,0.01197324,NA,0.004747908,-0.005392414,0.004404696,0.008269626,-0.011491539,0.000192336,0.01153093,NA,-0.005583965
49,intint,int,int,no,original,4.9,3.6,3.3,4.6,3.7,2.3,5,4.2,3.5,3.7,3.5,2.5,4.1,3.9,3.5,4.5,5.2,4.2,5.6,3.3,2.4,4.2,4.6,3.5,6.2,5.9,4.2,5.9,5.2,4.5,5.7,4.5,5.2,5.6,5.5,4.9,4.2,5.4,4.6,5.5,6.4,4.7,6.8,4.5,3.5,4.9,5.8,4.6,8.1,8.2,6.7,8.2,7.8,6.3,8.4,7.6,7.3,NA,NA,NA,6.9,4.2,4.9,5.7,6.8,7.3,8.3,7.7,6,8.8,5.8,6.2,45.80618804,32.51548396,58.20782138,26.15375884,44.08361351,78.07250443,35.72462086,54.10647218,124.1836233,108.999717,105.3048113,118.9281315,82.46680716,133.0572481,85.45132018,104.0621151,353.0916487,320.0972682,366.1691171,NA,112.1919678,222.5066376,305.8786162,248.8141382,0.018469298,0.022400535,0.010978507,0.028046786,0.011598291,0.009872991,0.016150125,0.012111744,0.012011107,0.012382524,0.014324554,NA,0.00353811,0.005910086,0.014657948,0.010019749,0.014382454,0.016104989,0.012951236,NA,0.006578333,0.007375486,0.015122171,0.010744735
50,subint,sub,int,no,original,4.4,3.6,3.2,4.3,2.4,2.3,3.2,2.7,2.7,3.4,4.3,2.9,4.1,2.5,1.8,4,4.4,3.2,4.5,3,2.7,3.7,3.6,3.7,5.3,5,5.2,5.3,4,3.4,4.4,3.9,3.9,5.7,4.3,3.2,5.4,3.5,3.1,6.4,6.7,4.9,5.8,4.3,4.4,5.8,4.4,4.2,6.3,5.7,4.4,7.3,6.3,5.3,6.9,5.4,5.2,7.1,6.5,6.4,8.5,7.4,6.5,7.9,5.3,4.9,6.5,5.5,5.2,6.1,5.3,5,39.94849218,18.65065384,18.32176836,34.60778467,14.88506234,45.36459792,28.70728462,38.71482802,108.269493,56.98613454,52.56198669,62.95457153,46.1861244,169.093083,86.19784113,84.22766984,126.186585,192.8717978,152.2266574,231.9891424,322.4619057,161.3828292,146.1203831,127.067409,0.018463565,0.020683829,0.019516728,0.011080273,0.020968912,0.024365136,0.020361004,0.014394459,0.001760209,0.014013997,0.012222729,0.014991692,0.022336846,-0.000536437,0.006066502,0.004726371,0.008099794,0.016451722,0.014910427,0.013398676,0.021659344,0.008936953,0.011459718,0.008369683
51,subint,sub,int,no,original,4.4,3.6,2.1,3.7,3.3,3.4,4.6,3,1.9,3.4,2.7,1.6,3.7,3.6,3.1,4.4,5.7,3.1,3.7,2.6,1.7,3.7,4,3.2,5.7,3.8,3.8,4.7,4.9,2.5,5.9,4.8,4,5,4.5,3.3,4.9,5.2,3.8,6.1,6.4,4.3,NA,NA,NA,4.4,5.6,4.7,6.9,5.1,4.8,6.8,5.6,4.5,5.9,5.7,4.9,7.6,6.2,4.8,8.6,6.5,7.2,6.7,5.1,4.5,6.6,6.2,4.2,NA,NA,NA,28.06934496,32.61228429,21.68602139,12.34371024,32.61228429,66.90335715,13.43286114,37.66141273,64.64455203,50.53487403,89.71131982,59.72953033,77.93113276,137.1283595,NA,91.65518027,132.7851076,136.2013933,130.164823,180.5630378,316.9344698,121.2403437,140.1652978,NA,0.015448626,0.008110641,0.026294983,0.029197776,0.016132157,0.013290153,NA,0.016470323,0.008273888,0.011396218,0.004278213,0.012715556,0.016124937,-0.001415431,NA,NA,0.010944043,0.010066518,0.012620659,0.018893897,0.016014127,0.004186801,0.016514918,NA
52,intint,int,int,no,original,4.6,3.6,1.9,5.7,5,4.9,3.9,3.6,4.3,4.7,2.8,2.3,5.2,4.4,3.9,4.8,4,3.8,6.3,5.1,3.2,5.1,4.5,3.6,6.1,5.6,3.3,6.5,6.6,5.8,5.2,5.2,5.9,6.3,5.1,3.8,5.5,4.7,4.3,7.1,6.6,5.8,6.5,5.5,4.2,5.7,6.5,4.8,8.9,8,7.4,7.9,7.4,5.2,8.7,8.1,6.5,8.5,7.8,6.6,10,9.1,7.7,5.1,4.8,3.5,9.6,7.9,7.2,7.2,6,4.2,27.32203861,109.6920454,47.79128189,24.00314232,70.33790332,57.34034911,85.21707518,65.70071621,94.8723675,196.2395851,125.79958,97.98293692,87.47372045,214.3540083,120.0844339,142.9096754,414.4396883,246.2623795,364.1286527,346.0778467,554.1769441,68.98525133,429.7887246,147.0830849,0.023052571,0.010771471,0.017923088,0.026048307,0.004037548,0.024418969,0.006351727,0.014390796,0.016947069,0.0026099,0.01221629,0.014504257,0.021220065,-0.01303145,0.014656306,0.00033086,0.019149534,0.005695216,0.014300451,0.018792106,0.014536431,0.001302029,0.011395014,0.005675266
53,subint,sub,int,no,original,4.2,3.6,2.3,5,3.1,2.9,4.9,5,3.1,3.5,3.6,2.7,4.5,4.2,2.7,3.1,3.1,2.8,6.1,5.5,3.9,3.9,4.4,3.7,4.9,4.8,3,5.3,3.4,3.3,6.1,5.5,4.1,5.1,4.7,3.5,5.7,4.6,4,4.4,4.7,3,6.6,5.6,4.6,6.3,6.3,4.7,5.8,4.5,3.5,6.7,5.9,5.3,6.6,6.1,4.9,6.9,7,5.1,6,5.7,5.1,6.7,5.8,5.1,7.6,7.2,6.5,6.4,5.7,4.4,28.70669557,35.34291735,63.12421754,27.27589647,42.06690738,21.1882753,105.8316171,50.24172416,58.53493972,46.71489371,110.3829995,67.33296995,82.77546863,51.22288282,134.8261611,149.677255,72.88494956,165.0215789,156.8047433,198.3580003,137.4132627,156.299536,280.0816244,128.1895466,0.013194323,0.005166019,0.010349104,0.016734197,0.012534636,0.016347007,0.004484017,0.020215472,0.002520211,0.014505899,0.004035003,0.012418661,0.00582599,NA,0.008403389,-0.00178128,0.006561632,0.010851959,0.006407724,0.013972325,0.008336137,0.01407272,0.006853745,0.006596226
54,intint,int,int,no,original,4.9,3.6,1.8,4.3,3.6,2.1,3.6,2.2,1.9,5,5.2,4.6,3.6,3,3,3.6,4.8,3.2,4.6,3.2,3.6,4.6,3.8,3.1,5.7,2.4,2.1,5.8,5.2,3.5,4.9,2.7,2.6,5.9,5.9,5.7,5.8,4.2,5.1,4.9,5.8,3.2,5.8,4.3,4.4,5.7,5.6,3.6,7.6,6.4,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,5.4,3.5,NA,NA,NA,7.3,5.9,5.2,7.2,5.9,5.5,28.05520779,27.4314053,11.88228881,94.28704952,25.44690049,45.23893421,41.76433274,43.00172754,22.66364575,86.19784113,27.02574715,155.8826859,98.49717637,77.93113276,86.19784113,94.72844328,207.7817965,NA,NA,NA,88.65122864,NA,176.6032566,183.7266216,-0.003952077,0.0212029,0.015217427,0.009310368,0.025063591,0.010071619,0.013418564,0.014625445,0.025468119,NA,NA,NA,-0.001210552,NA,0.008244375,0.007614191,0.014100804,NA,NA,NA,0.008789549,NA,0.010153965,0.010226821
55,intint,int,int,no,original,5.1,3.6,3.2,4.4,4.6,3.2,4.9,3.8,2.1,4.3,4.3,2.6,4.7,4.8,2.2,4.4,5.6,4.5,4.3,3.4,2.8,4.8,5.9,3.4,6.4,5.6,4.2,3.9,4.1,3.9,5.7,5,2.2,6.2,6.2,5.1,7,6.4,3.5,7.2,6.2,4.1,6.3,4.9,6,5.5,6.7,4.1,2.9,2.5,1.6,6.6,7.1,5.3,9.9,9.1,5.8,6.6,5.7,4.3,7.6,6.8,5.1,9.7,8.9,7.4,9.7,8.1,6.6,8.9,7.3,6.8,46.30393412,52.56198669,33.49114483,40.19726705,45.21929926,88.13031331,32.45500831,81.51490458,120.6874234,49.0088454,58.01893313,155.4456118,134.7095295,149.9812041,146.9682204,125.9621574,9.571843767,199.2586556,431.5564595,129.590697,211.3184444,506.0306622,411.5629711,347.4226447,0.017740315,-0.001296155,0.01017571,0.025046239,0.020214757,0.009846175,0.027969659,0.008059179,-0.029130782,0.016121873,0.023064701,-0.002090976,0.005175234,0.013978015,0.011836157,0.011661615,-0.011101416,0.009384582,0.018000826,0.008243535,0.010858044,0.012308315,0.017888079,0.01020955
56,subint,sub,int,no,original,3.9,3.6,1.9,3.6,4.8,4.3,3.8,3.6,3.5,3.3,5.4,3.2,5.2,3.5,2.2,4.9,3.7,2.8,3.7,5.4,3.9,4.4,3.1,2.8,4.6,3.5,2.7,NA,NA,NA,4.6,5.1,4.3,4.3,7.1,4.1,5.4,4.7,3.3,5,4.1,4.1,5,4.8,3.9,NA,NA,NA,NA,NA,NA,4.9,4.1,3,8.5,6.5,5.8,NA,NA,NA,6.4,5.6,5.6,5.7,5.5,3.4,3.1,3.7,3.5,6.6,5.3,4.8,23.16433708,58.53493972,37.61232535,47.92263974,33.17286223,40.64926369,62.83440562,30.07368107,34.71931121,NA,79.80744898,105.9093715,67.85840132,66.01271563,74.30848373,NA,NA,48.50010374,252.4986373,NA,157.632553,88.65122864,31.55415661,132.19547,0.007494114,NA,0.013931205,0.014685106,0.013253538,0.008979012,0.003105969,NA,NA,NA,0.013238954,NA,0.009687856,0.003389224,-0.009845055,NA,NA,-0.001324351,0.013408972,NA,0.010975596,0.00549105,-0.004850686,0.010426981
57,subint,sub,int,no,original,3.4,3.6,1.8,3.4,2.5,2.3,3.9,3.4,2,3.8,2.4,1.8,3.7,2.9,2.7,4.5,3.2,2.3,3.9,3.3,3.8,2.9,2.1,2.1,3.6,3.5,2.5,4.4,3.8,3.3,5.8,4.3,3.4,3.9,3.6,3.3,5.1,3.8,3.7,4.5,4.4,4.2,3.9,3.6,3.1,3.3,2.3,2,6.4,6,4.7,4.9,5.2,4.5,6.5,5.6,5.2,6.1,4.7,3.8,7.2,6.3,5.3,5.6,4.8,4.1,NA,NA,NA,4.6,3.8,4,19.46687888,15.38123763,22.32965518,13.16170242,22.78282992,26.72808125,38.60212338,10.04445711,25.44690049,43.55111356,67.52107281,36.4579864,56.32777453,65.34905419,34.37511047,11.98065993,143.8723772,90.52518866,148.8643679,86.53615139,190.2297184,87.09594393,NA,54.9511679,0.00496073,0.01927383,0.020491187,0.018867579,0.016762603,0.016556078,-0.002147676,0.00326431,0.01991187,0.008410263,0.009087309,0.009935652,0.013989019,0.003301924,NA,0.017507486,0.014086001,0.012482251,0.01336,0.013262331,0.014945248,0.008318983,NA,0.011967775
58,intint,int,int,no,original,4,3.6,3,4,3.2,2.3,3.8,3.2,2.6,4.8,5.9,5.5,4.1,2.8,2.8,5.5,4.3,3.1,4.5,2.9,2.9,3.4,4,2.5,5,5.2,4.5,4.1,2.8,2.9,4.5,4.7,3.8,7,7,3.7,5.7,4.8,3.8,7.2,6.3,4.7,7.3,5,4.9,4.9,5.3,3.6,3.8,3.6,3.1,7.1,6.5,5.8,8.2,7,6.3,6.6,5.7,4.4,3.3,5.7,3.5,6.5,5.6,5.1,8.6,5.2,5.1,8.6,5.7,5.5,34.211944,23.75829444,25.09975451,122.4844144,25.24583856,59.13655471,29.72339349,28.20561154,92.37264149,26.15552599,63.83814447,157.3604125,82.77546863,171.05972,140.482795,76.20895094,33.49369738,210.9106264,284.8046163,132.19547,54.84278295,146.1203831,179.144216,211.8187431,0.01839363,0.001780163,0.017286904,0.004639907,0.021990193,0.019669694,0.028762049,0.018406629,-0.011660616,0.023992804,0.017189109,-0.002002956,-0.004731737,-0.001811286,0.002794323,0.011750023,-0.000149419,0.01537678,0.017105249,0.000537309,0.005463446,0.006370293,0.012649696,0.014198662
59,intint,int,int,no,original,4.3,3.6,3.8,4.5,4.3,2.9,3.9,4.6,3.5,3.6,3,4.5,4.1,3.5,2.8,4.4,2.9,3.5,4.9,2.4,4.1,4.7,4.4,3.5,6.3,5.7,4.4,6.1,6,4,4.8,5,5,5.7,4.5,3.9,4.8,6.1,4.6,5.7,5.8,5,5.8,3.9,4.1,6.8,6.2,5.4,9.3,7.9,7,8.2,6.9,5.3,8.3,7.8,5.6,9,6.9,6,7.7,6.8,7.1,6.9,5.8,5.1,7.6,5.4,6,NA,NA,NA,46.23403368,45.80442089,50.24172416,39.76078202,31.95176443,35.38689965,40.64926369,57.59462177,126.186585,119.7732199,94.24777961,78.97021453,107.9042829,130.5425995,72.88494956,179.6614007,405.4015225,239.6422584,292.6291455,294.0707438,292.1125499,160.9651937,193.9336561,NA,0.018593434,0.017800361,0.011649656,0.012707217,0.022537355,0.024173295,0.01081299,0.021067496,0.01341513,0.007971806,0.013022745,0.015112065,0.011447064,0.002407914,0.011248666,NA,0.015289872,0.011653286,0.012408875,0.014091122,0.015583886,0.010667933,0.01100377,NA
60,intint,int,int,no,original,4.1,3.6,2.8,4.2,4.3,2.9,4.1,4.1,2.6,4.5,5.4,4.3,3.9,2.4,1.1,4.3,2.7,1.8,4.1,2.3,2.3,4.3,3.5,3.6,5.1,5.7,3.4,5.3,5.9,3.9,6,4.9,4.2,5.1,5.4,4.1,3.9,2.4,1.8,6.5,4.5,3,NA,NA,NA,5.6,5.6,4.8,6.6,5,3.3,8,7.3,5.7,5.9,5.4,5,5.5,4,3.8,7.4,4.6,3.5,NA,NA,NA,6.3,5.9,4.2,7.4,6.6,4.9,32.97415649,42.75079283,36.13793664,83.13537734,9.380599314,17.09713627,17.03450077,42.56131552,82.92449794,99.94427249,97.55823287,90.37478491,13.50806301,71.79030087,NA,118.9281315,89.27503114,265.4645792,125.2992814,65.70248336,95.33045098,NA,126.186585,192.1574782,0.017077897,0.015726389,0.018390857,0.001546203,0.00675265,0.026571082,NA,0.019029141,0.000848176,0.011228375,0.002876502,-0.003664696,0.022460489,NA,NA,0.005514895,0.007014068,0.012859815,0.00875607,-0.001657279,0.016328913,NA,0.01410226,0.010615278
